id_bloc,bloc,id_parcelle,n_parcelle,surface_parcelle,id_carre,n_carre,surface_carre,id_arbre,n_arbre,nom_inventaire,nom_scientifique,x_parcelle_mesure,y_parcelle_mesure,xy_dd_4326,hom,hom_circumference,is_alive,code_mortality_abbr,code_observation_abbr,date_mesure,annee_campagne
2,F2 La Lolé,24,24,4,39,3,1,33560,58,Mobedemboko,Dasylepis seretii,95.0,26.0,17.8655067179102183 3.82239762388587723,,39.5,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33561,59,Pakagamba,Trichilia prieuriana,94.0,19.0,17.8654975124867903 3.82233440537882885,,125.0,true,,PACY,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33561,59,Pakagamba,Trichilia prieuriana,94.0,19.0,17.8654975124867903 3.82233440537882885,,126.0,true,,PACY,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33561,59,Pakagamba,Trichilia prieuriana,94.0,19.0,17.8654975124867903 3.82233440537882885,,127.0,true,,PACY,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33561,59,Pakagamba,Trichilia prieuriana,94.0,19.0,17.8654975124867903 3.82233440537882885,,129.0,true,,PACY,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33562,60,Molanga,Staudtia kamerunensis,94.0,15.0,17.8654973924249454 3.82229826328885336,,56.0,true,,INCL,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33562,60,Molanga,Staudtia kamerunensis,94.0,15.0,17.8654973924249454 3.82229826328885336,,57.0,true,,INCL,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33562,60,Molanga,Staudtia kamerunensis,94.0,15.0,17.8654973924249454 3.82229826328885336,,57.0,true,,INCL,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33562,60,Molanga,Staudtia kamerunensis,94.0,15.0,17.8654973924249454 3.82229826328885336,,61.5,true,,INCL,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33564,62,Pessi,Carapa procera,91.0,6.0,17.865470136357839 3.82221703403240953,,47.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33564,62,Pessi,Carapa procera,91.0,6.0,17.865470136357839 3.82221703403240953,,47.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33564,62,Pessi,Carapa procera,91.0,6.0,17.865470136357839 3.82221703403240953,,47.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33564,62,Pessi,Carapa procera,91.0,6.0,17.865470136357839 3.82221703403240953,,48.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33565,63,Mossanza GF.,Rinorea oblongifolia,97.0,4.0,17.8655240481916984 3.82219878209469988,,58.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33565,63,Mossanza GF.,Rinorea oblongifolia,97.0,4.0,17.8655240481916984 3.82219878209469988,,58.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33565,63,Mossanza GF.,Rinorea oblongifolia,97.0,4.0,17.8655240481916984 3.82219878209469988,,58.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33565,63,Mossanza GF.,Rinorea oblongifolia,97.0,4.0,17.8655240481916984 3.82219878209469988,,60.0,true,,,2015-12-16,2015
